appid,name,total_reviews,rating_pct,price,wilson_pct
620,Portal 2,140111,98.65,7.19,98.59
427520,Factorio,48641,98.51,21.0,98.4
745880,東方天空璋 ～ Hidden Star in Four Seasons.,4167,98.73,11.39,98.34
264200,One Finger Death Punch,14437,98.23,3.99,98.0
400,Portal,52881,97.96,7.19,97.83
337340,Finding Paradise,6701,98.16,6.99,97.81
424280,Iron Snout,14166,98.04,0.0,97.8
411960,TY the Tasmanian Tiger,1702,98.47,10.99,97.77
420530,OneShot,11205,98.04,6.99,97.76
253230,A Hat in Time,14311,97.96,22.99,97.71
294100,RimWorld,39413,97.83,27.79,97.68
341800,Keep Talking and Nobody Explodes,5860,98.04,10.99,97.65
292030,The Witcher® 3: Wild Hunt,207728,97.69,24.99,97.62
351640,Eternal Senia,10333,97.8,0.0,97.5
250900,The Binding of Isaac: Rebirth,74670,97.54,10.99,97.42
250320,The Wolf Among Us,21644,97.61,11.99,97.4
447530,VA-11 Hall-A: Cyberpunk Bartender Action,12642,97.67,10.99,97.4
412830,STEINS;GATE,5850,97.78,23.99,97.37
213670,South Park™: The Stick of Truth™,36807,97.52,25.99,97.36
899970,NEKOPARA Extra,1556,98.14,3.99,97.34
